line_index,semantic_similarity,punct_src,punct_tgt,punct_diff,punct_similarity,combined_score,source,repaired
1,0.795079,2,4,2,1.0,0.795079,# 第3话 警察先生，就是这个人,"# Chapter 3: Officer, It's This Person!"
3,0.748103,2,2,0,1.0,0.748103,第二天，政近比平常提早约一小时到校。 ,"The next day, Masachika arrived at school about an hour earlier than usual."
5,0.882803,1,1,0,1.0,0.882803,不是基于什么特别重要的原因。 ,It wasn't for any particularly important reason.
7,0.882514,1,1,0,1.0,0.882514,单纯是他比平常早一小时醒来。 ,He simply woke up an hour earlier than usual.
9,0.744976,4,5,1,1.0,0.744976,而且政近难得这么清爽起床，预料要是贸然睡回笼觉将会迟迟睡不著，一直赖床到最后睡过头，所以决定乾脆提早上学。 ,"And since Masachika rarely felt this refreshed upon waking, he anticipated that if he tried to go back to sleep, he'd end up tossing and turning, staying in bed until he overslept completely. So he decided to just head to school early."
11,0.82737,1,1,0,1.0,0.82737,另一个原因在于他今天刚好是值日生。 ,Another reason was that today happened to be his day to be on duty.
13,0.82671,5,6,1,1.0,0.82671,这所学校按照出席编号的顺序，每天由两人担任值日生，两人的座位会安排为相邻而坐。换句话说，政近的值日生搭档是艾莉莎。 ,"At this school, two students are assigned as duty students each day, based on their attendance numbers, and their seats are arranged next to each other. In other words, Alya was Masachika's duty partner."
15,0.736524,5,4,1,1.0,0.736524,政近知道自己是嫌麻烦又怠惰的人，不过会注意避免为别人添麻烦（忘记带课本请艾莉莎借他看，在他心中不属于添麻烦的范围）。 ,"Masachika knew he was someone who disliked trouble and was lazy, but he made sure not to cause trouble for others (like forgetting his textbook and asking Alya to lend him hers—this didn't count as causing trouble in his mind)."
17,0.809167,6,4,2,1.0,0.809167,所以再怎么麻烦，他也不会偷懒不做轮值打扫或值日生的工作。即使如此，他也只会做好自己负责的部分，这方面算是政近天生的个性，但他今天心情不太一样。 ,"So no matter how troublesome it was, he wouldn't slack off on his cleaning or duty responsibilities. Even so, he only did what was strictly his responsibility—this was just Masachika's natural personality—but today he felt different."
19,0.867947,4,4,0,1.0,0.867947,「嗯，我做得真完美。」 ,"""Hmm, I did a perfect job."""
21,0.732857,2,1,1,1.0,0.732857,政近在讲台环视无人的教室，满意点了点头。 ,Masachika looked around the empty classroom from the podium and nodded with satisfaction.
23,0.798926,2,4,2,1.0,0.798926,桌椅排列得井然有序，班导要归还众人的笔记本也整齐摆在桌上。 ,"The desks and chairs were neatly arranged, and the class teacher's notebooks, ready to be returned, were neatly stacked on the desk."
